caching 367841 frames (dual-camera) through frozen epoch-200 encoder
     2048/367841  ( 0.6%)      2s
    22528/367841  ( 6.1%)     23s
    43008/367841  (11.7%)     46s
    63488/367841  (17.3%)     67s
    83968/367841  (22.8%)     90s
   104448/367841  (28.4%)    112s
   124928/367841  (34.0%)    135s
   145408/367841  (39.5%)    157s
   165888/367841  (45.1%)    179s
   186368/367841  (50.7%)    201s
   206848/367841  (56.2%)    222s
   227328/367841  (61.8%)    244s
   247808/367841  (67.4%)    266s
   268288/367841  (72.9%)    288s
   288768/367841  (78.5%)    310s
   309248/367841  (84.1%)    332s
   329728/367841  (89.6%)    354s
   350208/367841  (95.2%)    377s
saved -> /home/yikang/git/le-wm/value/emb_cache.npz  (143 MB, 396s)
